ID,Dataset Name,Friendly Name,Data Type,Plottable,Has Schema,Category,Description
70,corva#data.map,data.map,time,No,No,Well Data (data.*),
5,corva#data.mud,data.mud,time,No,Yes,Well Data (data.*),"The data in this dataset represents drilling mud data. This data is represented in the WellHub Fluid Checks page in the Corva UI. When the data is inputted into the text fields of Fluid Checks, it is saved in this dataset."
97,corva#data.mud.plan,data.mud.plan,time,No,No,Well Data (data.*),
296,corva#data.npt-codes,data.npt-codes,reference,No,No,Well Data (data.*),Collection to store npt code mapping
17,corva#data.npt-events,data.npt-events,time,No,Yes,Well Data (data.*),
251,corva#data.offset-wells.bic,data.offset-wells.bic,time,No,No,Well Data (data.*),Collection for best in class offset wells
85,corva#data.offset_wells,data.offset_wells,time,No,No,Well Data (data.*),
21,corva#data.operation-summaries,data.operation-summaries,time,No,Yes,Well Data (data.*),
13,corva#data.plan_survey,data.plan_survey,time,No,Yes,Well Data (data.*),"Planned survey data: MD, inclination, azimuth, tvd, northing, easting, dls, and vertical section"
92,corva#data.pressure-gradient,data.pressure-gradient,time,No,No,Well Data (data.*),
19,corva#data.surface-equipment,data.surface-equipment,time,No,Yes,Well Data (data.*),
1542,corva#data.survey-projections,data.survey-projections,time,No,No,Well Data (data.*),
3081,corva#data.survey_management_system.cache,data.survey_management_system.cache,time,No,No,Well Data (data.*),Used as an intermediate cache collection b/w survey management task and stream applications
568,corva#data.sustainability,data.sustainability,time,No,No,Well Data (data.*),
16,corva#data.well-sections,data.well-sections,time,No,Yes,Well Data (data.*),
116,corva#data.well-sections.phases,data.well-sections.phases,time,No,No,Well Data (data.*),
3210,corva#dc-cp-records,dc-cp-records,time,No,No,Other,Continuous pumping records
2983,corva#dd-mission-control-notes,dd-mission-control-notes,reference,No,No,Other,
181,corva#design.data.casing,design.data.casing,time,No,No,Well Design (design.*),
178,corva#design.data.drillstring,design.data.drillstring,time,No,No,Well Design (design.*),
179,corva#design.data.mud,design.data.mud,time,No,No,Well Design (design.*),
184,corva#design.data.operation-inputs,design.data.operation-inputs,time,No,No,Well Design (design.*),
180,corva#design.data.plan_survey,design.data.plan_survey,time,No,No,Well Design (design.*),
182,corva#design.torque-and-drag.hookload-trend,design.torque-and-drag.hookload-trend,time,No,No,Well Design (design.*),
183,corva#design.torque-and-drag.torque-trend,design.torque-and-drag.torque-trend,time,No,No,Well Design (design.*),
559,corva#diesel.displacement.table.summary,diesel.displacement.table.summary,time,No,No,Other,
3323,corva#diff_derating,diff_derating,reference,No,No,Other,Diff Derating changes from Predictive Drilling
