equiv_bha_key,num_runs,curve_type,formation_name,formation_segment,formation_bin_key,p10,p50,p90,contributing_runs,confident
6B-16mm | 7/8-lo,36,slide,San Miguel,50,San Miguel|50,53.0,105.9,272.0,6,True
6B-16mm | 7/8-lo,36,slide,San Miguel,60,San Miguel|60,24.8,70.6,272.0,9,True
6B-16mm | 7/8-lo,36,slide,San Miguel,70,San Miguel|70,24.8,70.6,254.5,8,True
6B-16mm | 7/8-lo,36,slide,San Miguel,80,San Miguel|80,41.9,93.5,254.5,4,True
6B-16mm | 7/8-lo,36,slide,San Miguel,90,San Miguel|90,67.7,145.4,291.8,5,True
6B-16mm | 7/8-lo,36,slide,Austin Chalk,0,Austin Chalk|0,72.3,93.5,291.8,3,True
6B-16mm | 7/8-lo,36,slide,Austin Chalk,10,Austin Chalk|10,125.4,254.5,370.9,2,False
6B-16mm | 7/8-lo,36,slide,Austin Chalk,20,Austin Chalk|20,72.3,76.5,80.8,2,False
6B-16mm | 7/8-lo,36,slide,Austin Chalk,30,Austin Chalk|30,86.0,211.8,304.2,2,False
6B-16mm | 7/8-lo,36,slide,Austin Chalk,40,Austin Chalk|40,86.0,211.8,304.2,3,True
6B-16mm | 7/8-lo,36,slide,Austin Chalk,50,Austin Chalk|50,228.4,228.4,304.2,2,False
6B-16mm | 7/8-lo,36,slide,Austin Chalk,60,Austin Chalk|60,228.4,228.4,228.4,1,False
6B-16mm | 7/8-lo,36,slide,Anacacho,0,Anacacho|0,80.1,83.5,86.9,2,False
6B-16mm | 7/8-lo,36,slide,Anacacho,10,Anacacho|10,54.5,61.0,86.9,2,False
6B-16mm | 7/8-lo,36,slide,Anacacho,20,Anacacho|20,52.5,52.5,64.8,3,True
6B-16mm | 7/8-lo,36,slide,Anacacho,30,Anacacho|30,54.5,61.0,143.1,1,False
6B-16mm | 7/8-lo,36,slide,Anacacho,40,Anacacho|40,56.8,75.3,221.3,2,False
6B-16mm | 7/8-lo,36,slide,Anacacho,50,Anacacho|50,56.8,75.3,221.3,3,True
6B-16mm | 7/8-lo,36,slide,Anacacho,70,Anacacho|70,36.0,42.8,49.7,2,False
6B-16mm | 7/8-lo,36,slide,Anacacho,80,Anacacho|80,36.0,42.8,49.7,2,False
6B-16mm | 7/8-lo,36,slide,Anacacho,90,Anacacho|90,51.8,98.3,138.5,2,False
6B-16mm | 7/8-lo,36,slide,Eagle Ford,90,Eagle Ford|90,51.8,98.3,138.5,1,False
6B-16mm | 7/8-lo,36,slide,Buda,0,Buda|0,138.5,138.5,138.5,3,True
6B-16mm | 7/8-lo,36,slide,Buda,10,Buda|10,32.7,61.4,126.3,1,False
6B-16mm | 7/8-lo,36,slide,Buda,20,Buda|20,44.4,114.5,138.1,2,False
6B-16mm | 7/8-lo,36,slide,Buda,30,Buda|30,44.4,114.5,138.1,3,True
6B-16mm | 7/8-lo,36,slide,Buda,90,Buda|90,78.0,147.2,248.2,12,True
6B-13mm | 6/7-mid,4,rotary,San Miguel,70,San Miguel|70,176.8,176.8,176.8,1,False
6B-13mm | 6/7-mid,4,rotary,San Miguel,80,San Miguel|80,76.6,76.6,76.6,1,False
6B-13mm | 6/7-mid,4,rotary,San Miguel,90,San Miguel|90,76.6,76.6,76.6,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,0,Austin Chalk|0,133.3,133.3,133.3,2,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,10,Austin Chalk|10,138.8,139.8,140.9,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,20,Austin Chalk|20,142.8,156.5,156.5,2,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,30,Austin Chalk|30,156.5,156.5,156.5,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,40,Austin Chalk|40,156.5,156.5,156.5,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,50,Austin Chalk|50,150.0,150.0,154.2,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,60,Austin Chalk|60,150.0,150.0,150.0,2,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,70,Austin Chalk|70,150.0,150.0,150.0,2,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,80,Austin Chalk|80,150.0,150.0,150.0,1,False
6B-13mm | 6/7-mid,4,rotary,Austin Chalk,90,Austin Chalk|90,150.0,150.0,150.0,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,0,Anacacho|0,76.6,76.6,76.6,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,10,Anacacho|10,73.5,75.1,76.6,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,20,Anacacho|20,75.0,75.1,76.6,2,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,30,Anacacho|30,75.0,75.1,79.7,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,40,Anacacho|40,83.1,115.6,120.0,2,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,50,Anacacho|50,83.1,115.6,120.0,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,60,Anacacho|60,102.9,102.9,118.1,2,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,70,Anacacho|70,102.9,102.9,118.1,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,80,Anacacho|80,124.1,124.1,124.1,1,False
6B-13mm | 6/7-mid,4,rotary,Anacacho,90,Anacacho|90,133.3,133.3,133.3,1,False
6B-13mm | 6/7-mid,4,rotary,Eagle Ford,0,Eagle Ford|0,243.4,257.1,295.7,2,False
6B-13mm | 6/7-mid,4,rotary,Eagle Ford,10,Eagle Ford|10,243.4,257.1,295.7,3,True
6B-13mm | 6/7-mid,4,rotary,Eagle Ford,20,Eagle Ford|20,225.0,225.0,225.0,2,False
6B-13mm | 6/7-mid,4,rotary,Buda,90,Buda|90,208.3,212.8,217.3,1,False
6B-13mm | 6/7-mid,4,slide,San Miguel,70,San Miguel|70,64.8,69.3,73.8,2,False
6B-13mm | 6/7-mid,4,slide,San Miguel,80,San Miguel|80,72.5,77.5,81.4,2,False
6B-13mm | 6/7-mid,4,slide,San Miguel,90,San Miguel|90,75.1,79.6,82.5,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,0,Austin Chalk|0,75.1,93.3,107.5,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,10,Austin Chalk|10,88.4,100.7,111.5,1,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,20,Austin Chalk|20,88.4,100.7,107.5,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,30,Austin Chalk|30,79.7,81.5,83.3,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,40,Austin Chalk|40,79.7,81.5,83.3,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,50,Austin Chalk|50,79.7,81.5,104.2,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,60,Austin Chalk|60,81.8,81.8,104.2,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,70,Austin Chalk|70,81.8,81.8,93.5,1,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,80,Austin Chalk|80,81.8,88.3,93.5,2,False
6B-13mm | 6/7-mid,4,slide,Austin Chalk,90,Austin Chalk|90,82.8,88.3,93.5,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,0,Anacacho|0,78.9,87.0,91.2,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,10,Anacacho|10,64.3,64.3,64.3,1,False
6B-13mm | 6/7-mid,4,slide,Anacacho,20,Anacacho|20,64.3,64.3,64.3,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,30,Anacacho|30,61.7,69.2,69.2,1,False
6B-13mm | 6/7-mid,4,slide,Anacacho,40,Anacacho|40,61.7,69.2,72.4,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,50,Anacacho|50,61.7,72.3,83.0,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,60,Anacacho|60,88.2,89.0,89.8,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,70,Anacacho|70,106.2,107.5,108.8,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,80,Anacacho|80,109.1,109.1,109.1,2,False
6B-13mm | 6/7-mid,4,slide,Anacacho,90,Anacacho|90,109.1,109.1,109.1,1,False
6B-13mm | 6/7-mid,4,slide,Eagle Ford,0,Eagle Ford|0,80.2,94.5,108.9,2,False
6B-13mm | 6/7-mid,4,slide,Eagle Ford,10,Eagle Ford|10,51.9,53.7,57.2,3,True
6B-13mm | 6/7-mid,4,slide,Eagle Ford,20,Eagle Ford|20,22.0,29.6,37.9,2,False
6B-13mm | 6/7-mid,4,slide,Buda,90,Buda|90,21.7,25.8,29.9,1,False
6B-13mm | 7/8-lo,13,rotary,Wilcox,0,Wilcox|0,343.4,360.0,404.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,10,Wilcox|10,327.3,360.0,385.5,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,20,Wilcox|20,327.3,360.0,385.5,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,30,Wilcox|30,400.0,400.0,400.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,40,Wilcox|40,410.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,50,Wilcox|50,400.0,400.0,400.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,60,Wilcox|60,360.0,360.0,432.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,70,Wilcox|70,360.0,360.0,432.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,80,Wilcox|80,360.0,360.0,432.0,3,True
6B-13mm | 7/8-lo,13,rotary,Wilcox,90,Wilcox|90,400.0,400.0,440.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,0,Midway|0,400.0,400.0,440.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,10,Midway|10,368.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,20,Midway|20,368.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,30,Midway|30,351.8,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,40,Midway|40,378.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,50,Midway|50,378.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,60,Midway|60,378.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,70,Midway|70,378.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,80,Midway|80,378.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Midway,90,Midway|90,234.0,450.0,450.0,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,0,Escondido|0,210.9,400.0,400.0,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,10,Escondido|10,178.4,327.3,327.3,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,20,Escondido|20,178.4,327.3,327.3,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,30,Escondido|30,176.6,276.9,276.9,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,40,Escondido|40,170.8,300.0,300.0,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,50,Escondido|50,170.8,300.0,300.0,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,60,Escondido|60,197.2,300.0,300.0,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,70,Escondido|70,197.2,327.3,340.3,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,80,Escondido|80,168.4,327.3,340.3,3,True
6B-13mm | 7/8-lo,13,rotary,Escondido,90,Escondido|90,133.3,135.9,135.9,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,0,Olmos|0,133.3,135.9,135.9,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,10,Olmos|10,132.0,144.0,148.8,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,20,Olmos|20,132.0,144.0,148.8,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,30,Olmos|30,132.0,133.3,141.9,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,40,Olmos|40,123.0,133.3,141.9,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,50,Olmos|50,128.6,133.3,141.9,2,False
6B-13mm | 7/8-lo,13,rotary,Olmos,60,Olmos|60,128.6,135.0,147.0,3,True
6B-13mm | 7/8-lo,13,rotary,Olmos,70,Olmos|70,138.5,144.2,165.0,4,True
