asset_id,well_name,operator,distance_miles,bha_number,start_depth,end_depth,run_length,set_date,num_components,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
21462195,SSS-Burkholder M Unit C 3H,Pursuit Oil & Gas,11.6,3,10154,21747.1,11593.1,2024-12-12,10,8.75,pdc,"8.75"" Baker Hughes D506TWSXX",Baker Hughes,D506TWSXX,5351534,0.9940195505498954,"[{'size': 12, 'count': 9}]",N/A,N/A,"7"" KLX K-Series 5/6 9.5",KLX,K-Series 5/6 9.5,7,38.74,0.34,N/A,N/A,9.5,N/A,6,16,high,Baker:D506TWSXX->C50B6(frac),5/6,mid
58582692,SSS-Burkholder M Unit E 5H,Pursuit Oil & Gas,11.6,3,10278,14943.6,4665.6,2024-12-01,12,8.75,pdc,"8.75"" Baker Hughes  DD506TS",Baker Hughes, DD506TS,5346789,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,6.75,32.07,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
58582692,SSS-Burkholder M Unit E 5H,Pursuit Oil & Gas,11.6,4,14943,15513,570,2024-12-03,12,8.75,pdc,"8.75"" Baker Hughes D506TS",Baker Hughes,D506TS,5332656,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,6.75,31.97,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:D506TS->C50B6(frac),5/6,mid
58582692,SSS-Burkholder M Unit E 5H,Pursuit Oil & Gas,11.6,5,15513,20523.9,5010.9,2024-12-04,12,8.75,pdc,"8.75"" Baker Hughes D506TS",Baker Hughes,D506TS,5332656,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"6.75"" ProDirectional 5/6 8.3 Stg",ProDirectional,5/6 8.3 Stg,6.75,33.2,0.38,N/A,N/A,8.3,N/A,6,16,high,Baker:D506TS->C50B6(frac),5/6,mid
58582692,SSS-Burkholder M Unit E 5H,Pursuit Oil & Gas,11.6,6,20523.9,21440.6,916.7,2024-12-07,12,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5351400,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2",ProDirectional,5/6 8.2,7,31.9,0.43,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
32278879,SSS-Burkholder M Unit D 4H,Pursuit Oil & Gas,11.6,3,10154.3,21822,11667.7,2024-12-20,10,8.75,pdc,"8.75"" Baker Hughes P506S",Baker Hughes,P506S,5351324,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" KLX K-Series 5/6 9.5",KLX,K-Series 5/6 9.5,7,39.99,0.34,N/A,N/A,9.5,N/A,6,16,high,Baker:P506S->C50B6(frac),5/6,mid
19934773,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,3,10461,20989.5,10528.5,2022-10-24,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5331290,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional DD700568.2",ProDirectional,DD700568.2,7,31.5,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),?,mid
19934773,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,2,5160,11917,6757,2022-10-24,9,8.75,pdc,"8.75"" Baker Hughes  D506TWSX",Baker Hughes, D506TWSX,5331914,1.16659238918703,"[{'size': 13, 'count': 9}]",N/A,N/A,"7"" ProDirectional 7/8 6.9 Stg",ProDirectional,7/8 6.9 Stg,7,32.4,0.25,N/A,N/A,6.9,N/A,6,16,high,Baker:D506TWSX->C50B6(frac),7/8,lo
19934773,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,4,20989.5,22418.05,1428.5,2022-10-28,11,8.75,pdc,"8.75"" Baker Hughes DD506TS",Baker Hughes,DD506TS,5336586,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,"7"" ProDirectional 5/6 8.2 stg",ProDirectional,5/6 8.2 stg,7,31.77,0.426,N/A,N/A,8.2,N/A,6,16,high,Baker:DD506TS->C50B6(frac),5/6,mid
19934773,La Muela-Santa Cruz E Unit,Pursuit Oil & Gas,11.7,4.1,22418.05,22418.05,0.0,2022-10-30,11,8.75,pdc,Placeholder BHA,N/A,N/A,N/A,2.236543988737265,"[{'size': 18, 'count': 9}]",N/A,N/A,Placeholder BHA,N/A,N/A,7,31.77,0.426,N/A,N/A,8.2,N/A,,,,skip,,
