asset_id,well_name,operator,distance_miles,section_type,bha_number,start_depth,end_depth,run_length,section_start_depth,lateral_start_depth,set_date,num_components,is_rss,has_agitator,bit_size,bit_type,bit_name,bit_manufacturer,bit_model,bit_serial,bit_tfa,bit_nozzles,bit_blade_count,bit_cutter_size,motor_name,motor_manufacturer,motor_model,motor_od,motor_length,motor_rpg,motor_max_diff,motor_bend,motor_stages,motor_lobes,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,motor_lobe_config,motor_rpg_band
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,1,108.2,3578.295,3470.1,N/A,N/A,2024-06-10,12,False,False,12.25,pdc,"12.25"" Varel VION 616",Varel,VION 616,4016019,0.8352525390037316,"[{'size': 11, 'count': 9}]",N/A,N/A,"8"" KLX K Series 7/8 5.9",KLX,K Series 7/8 5.9,8,37.85,0.16,N/A,N/A,5.9,N/A,6,16,high,"Varel:VION 616->B6,16mm",7/8,lo
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,2,3578.3,7904.096,4325.8,N/A,N/A,2024-06-12,11,False,False,8.75,pdc,"8.75"" Taurex TSd616",Taurex,TSd616,S14894,0.8352525390037316,"[{'size': 11, 'count': 9}]",N/A,N/A,"7"" KLX K-Series 6/7 6.5",KLX,K-Series 6/7 6.5,7,37.44,0.23,N/A,N/A,6.5,N/A,6,16,high,"TX:TSd616->B6,16mm",6/7,lo
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,3,7904,8179.834,275.8,N/A,N/A,2024-06-14,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD406TS",Baker Hughes,DD406TS,5352011,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 9.5",KLX,5/6 9.5,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,Baker:DD406TS->C40B6(frac),5/6,mid
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,4,8180,8488.53,308.5,N/A,N/A,2024-06-15,11,False,True,8.75,pdc,"8.75"" Baker Hughes DD406TS",Baker Hughes,DD406TS,5352011,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 8.4",KLX,5/6 8.4,7,36.62,0.35,N/A,N/A,8.4,N/A,6,13,high,Baker:DD406TS->C40B6(frac),5/6,mid
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,5,8488,8697.979,210.0,N/A,N/A,2024-06-15,11,False,True,8.75,pdc,"8.75"" Ulterra SPL613",Ulterra,SPL613,71115,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"6.75"" KLX 7/8 5.0",KLX,7/8 5.0,6.75,26.68,0.29,N/A,N/A,5,N/A,6,13,high,"Ulterra:SPL613->B6,13mm",7/8,lo
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,6,8698,13792.58,5094.6,N/A,N/A,2024-06-16,11,False,True,8.75,pdc,"8.75"" Halliburton  HD64s",Halliburton, HD64s,1282739,1.767145867644259,"[{'size': 16, 'count': 9}]",N/A,N/A,"7"" KLX  K-Series 5/6 9.5",KLX, K-Series 5/6 9.5,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,"HAL:HD64s->B6,C4(frac)",5/6,mid
11924169,Galvan Ranch B924H,SM Energy,9.6,intermediate,7,13793,17227.35,3434.3,N/A,N/A,2024-06-19,11,False,True,8.75,pdc,"8.75"" NOV TK63-G4",NOV,TK63-G4 ,A299662,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 8.4",KLX,5/6 8.4,7,35.72,0.35,N/A,N/A,8.4,N/A,6,13,high,"NOV-TK:TK63-G4->B6,C3",5/6,mid
12095535,Galvan Ranch B922H,SM Energy,9.6,intermediate,1,105.2,3582.17,3477.0,N/A,N/A,2024-06-09,12,False,False,12.25,pdc,"12.25"" Varel VION 616",Varel,VION 616,4016019,0.8352525390037316,"[{'size': 11, 'count': 9}]",N/A,N/A,"8"" KLX K-Series 7/8 5.9 stg",KLX,K-Series 7/8 5.9 stg,8,37.99,0.16,N/A,N/A,5.9,N/A,6,16,high,"Varel:VION 616->B6,16mm",7/8,lo
12095535,Galvan Ranch B922H,SM Energy,9.6,intermediate,2,3582.17,7905.102,4322.9,N/A,N/A,2024-06-24,11,False,False,8.75,pdc,"8.75"" Taurex TSd616",Taurex,TSd616,S13695,0.8352525390037316,"[{'size': 11, 'count': 9}]",N/A,N/A,"7"" KLX 6/7 6.5",KLX,6/7 6.5,7,37.44,0.23,N/A,N/A,6.5,N/A,6,16,high,"TX:TSd616->B6,16mm",6/7,lo
12095535,Galvan Ranch B922H,SM Energy,9.6,intermediate,3,7905.1,16941.04,9035.9,N/A,N/A,2024-06-26,11,False,True,8.75,pdc,"8.75"" NOV TKC63 G5",NOV,TKC63 G5,A306958,1.352971054915135,"[{'size': 14, 'count': 9}]",N/A,N/A,"7"" KLX 5/6 9.5 Stg",KLX,5/6 9.5 Stg,7,38.7,0.344,N/A,N/A,9.5,N/A,6,13,high,"NOV-TK:TKC63 G5->B6,C3",5/6,mid
