asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,bin_start_ft,bin_axis,median_rop,foot_count
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,4900,distance_from_run_start,180.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,5000,distance_from_run_start,156.5,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,5100,distance_from_run_start,200.0,100
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,rotary,5200,distance_from_run_start,200.0,38
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,8500,distance_from_lateral_start,52.9,31
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,8750,distance_from_lateral_start,46.5,4
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,9000,distance_from_lateral_start,49.0,36
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,9250,distance_from_lateral_start,31.6,53
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,9500,distance_from_lateral_start,400.0,1
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,9750,distance_from_lateral_start,36.5,30
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,10000,distance_from_lateral_start,380.0,2
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,10250,distance_from_lateral_start,39.8,32
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,10500,distance_from_lateral_start,43.4,24
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,10750,distance_from_lateral_start,42.9,17
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,11500,distance_from_lateral_start,29.8,24
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,11750,distance_from_lateral_start,36.0,8
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,12000,distance_from_lateral_start,27.5,45
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,12750,distance_from_lateral_start,24.0,55
10830449,Galvan Ranch A #333H,4,6B-13mm | 5/6-mid,False,slide,13000,distance_from_lateral_start,327.3,1
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,0,distance_from_run_start,128.6,96
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,700,distance_from_run_start,150.0,50
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,800,distance_from_run_start,163.6,68
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,900,distance_from_run_start,171.4,46
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1000,distance_from_run_start,327.3,65
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1100,distance_from_run_start,327.3,75
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1200,distance_from_run_start,400.0,96
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1300,distance_from_run_start,360.0,100
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1400,distance_from_run_start,360.0,100
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1500,distance_from_run_start,400.0,85
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1600,distance_from_run_start,400.0,97
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1700,distance_from_run_start,400.0,97
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1800,distance_from_run_start,400.0,52
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,1900,distance_from_run_start,400.0,87
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,2000,distance_from_run_start,400.0,94
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,2100,distance_from_run_start,400.0,87
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,2200,distance_from_run_start,360.0,71
14243794,Spohn Ranch 43H,3,6B-13mm | 7/8-lo,False,rotary,2300,distance_from_run_start,360.0,98
