asset_id,well_name,bha_number,equiv_bha_key,has_agitator,curve_type,formation_name,formation_segment,formation_bin_key,median_rop,foot_count
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,20,Hazard|20,450.0,3
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,30,Hazard|30,330.0,6
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,40,Hazard|40,400.0,3
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,50,Hazard|50,276.9,12
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,60,Hazard|60,276.9,11
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,80,Hazard|80,257.1,11
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Hazard,90,Hazard|90,338.4,4
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,0,San Miguel|0,276.9,25
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,10,San Miguel|10,450.0,25
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,20,San Miguel|20,450.0,90
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,30,San Miguel|30,360.0,30
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,40,San Miguel|40,450.0,33
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,50,San Miguel|50,450.0,94
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,60,San Miguel|60,450.0,128
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,70,San Miguel|70,400.0,133
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,80,San Miguel|80,360.0,174
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,San Miguel,90,San Miguel|90,276.9,204
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Buda,0,Buda|0,240.0,99
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Buda,10,Buda|10,240.0,100
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,rotary,Buda,20,Buda|20,240.0,149
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,10,Escondido|10,171.4,25
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,20,Escondido|20,180.0,37
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,30,Escondido|30,105.9,15
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,40,Escondido|40,122.9,20
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,50,Escondido|50,78.3,19
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,60,Escondido|60,144.0,30
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,70,Escondido|70,189.5,39
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Escondido,80,Escondido|80,276.9,47
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Hazard,80,Hazard|80,93.5,20
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,Hazard,90,Hazard|90,102.9,18
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,0,San Miguel|0,39.5,70
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,10,San Miguel|10,54.5,21
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,40,San Miguel|40,48.6,13
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,50,San Miguel|50,52.5,10
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,60,San Miguel|60,64.3,16
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,70,San Miguel|70,51.4,26
21462195,SSS-Burkholder M Unit C 3H,2,6B-16mm | 5/6-mid,False,slide,San Miguel,80,San Miguel|80,58.5,24
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Buda,90,Buda|90,276.9,143
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,0,Wilcox|0,194.8,34
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,10,Wilcox|10,144.0,19
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,20,Wilcox|20,400.0,13
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,30,Wilcox|30,300.0,9
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,40,Wilcox|40,99.3,8
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,50,Wilcox|50,360.0,9
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,60,Wilcox|60,17.1,7
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,70,Wilcox|70,400.0,16
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,80,Wilcox|80,400.0,41
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Wilcox,90,Wilcox|90,450.0,161
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,0,Midway|0,450.0,29
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,10,Midway|10,400.0,43
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,20,Midway|20,450.0,31
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,30,Midway|30,450.0,22
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,40,Midway|40,450.0,3
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,50,Midway|50,450.0,25
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,60,Midway|60,450.0,26
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,70,Midway|70,400.0,47
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,80,Midway|80,400.0,49
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Midway,90,Midway|90,400.0,46
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Escondido,0,Escondido|0,360.0,266
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,rotary,Escondido,10,Escondido|10,360.0,122
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Buda,90,Buda|90,257.1,33
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,0,Wilcox|0,218.4,102
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,10,Wilcox|10,211.8,51
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,20,Wilcox|20,211.8,74
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,30,Wilcox|30,200.0,26
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,40,Wilcox|40,189.5,35
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,50,Wilcox|50,156.5,50
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,60,Wilcox|60,138.5,29
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,70,Wilcox|70,124.1,54
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,80,Wilcox|80,83.7,71
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Wilcox,90,Wilcox|90,81.8,31
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Midway,30,Midway|30,51.8,18
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Midway,40,Midway|40,67.9,41
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Midway,50,Midway|50,73.5,21
58582692,SSS-Burkholder M Unit E 5H,1,6B-16mm | 6/7-lo,False,slide,Midway,60,Midway|60,100.0,22
